城市,拼音,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
太原,taiyuan,38,25,37,0.83,44,11,24,6
台州,taizhou,31,14,29,0.37,12,33,61,6
泰州,taizhoushi,53,35,54,0.8,21,59,89,4
唐山,tangshan,132,100,160,1.34,88,24,71,22
天津,tianjin,64,41,75,1.13,54,47,63,13
天水,tianshui,33,18,32,0.4,10,37,64,7
铁岭,tieling,85,53,117,1.33,76,11,79,32
铜川,tongchuan,20,12,16,1.68,31,31,39,11
通化,tonghua,76,29,99,1.15,38,14,59,8
通辽,tongliao,72,43,92,0.77,35,110,118,47
铜陵,tongling,54,23,55,0.78,50,32,60,9
铜仁地区,tongrendiqu,61,17,69,1.0,27,7,34,1
吐鲁番地区,tulufandiqu,73,49,94,0.95,32,62,79,8
瓦房店,wafangdian,93,69,0,0.75,24,79,104,3
潍坊,weifang,43,20,24,0.44,16,80,85,6
威海,weihai,76,20,26,0.57,10,133,129,3
渭南,weinan,28,16,23,1.18,55,10,31,4
文登,wendeng,63,11,24,0.95,16,117,114,7
文山州,wenshanzhou,20,10,19,0.5,16,24,38,3
温州,wenzhou,27,10,26,0.48,20,24,51,5
乌海,wuhai,61,14,34,0.4,10,80,112,5
武汉,wuhan,41,17,32,0.71,36,49,80,5
芜湖,wuhu,38,16,37,1.1,50,25,72,11
吴江,wujiang,72,32,61,0.83,52,70,125,8
五家渠,wujiaqu,45,7,44,0.5,16,65,85,11
乌兰察布,wulanchabu,61,26,41,0.55,41,81,112,15
乌鲁木齐,wulumuqi,49,12,48,0.6,34,45,66,7
武威,wuwei,68,26,84,1.1,75,14,86,7
无锡,wuxi,54,32,55,1.0,61,38,96,8
吴忠,wuzhong,63,16,74,0.47,51,49,90,7
梧州,wuzhou,64,33,76,1.4,46,9,51,8
厦门,xiamen,36,11,24,0.38,21,41,70,7
西安,xian,27,9,20,1.33,53,12,26,7
湘潭,xiangtan,36,15,34,0.8,28,42,71,23
湘西州,xiangxizhou,43,17,42,0.7,20,4,41,2
襄阳,xiangyang,55,34,57,1.38,32,17,34,7
咸宁,xianning,46,15,45,0.78,17,38,78,3
咸阳,xianyang,41,15,40,1.12,39,20,37,6
孝感,xiaogan,45,22,40,0.8,10,66,88,7
锡林郭勒盟,xilinguolemeng,56,11,55,0.45,29,75,105,13
兴安盟,xinganmeng,52,21,51,0.97,23,55,79,7
邢台,xingtai,39,27,31,0.8,35,45,55,6
西宁,xining,37,17,36,0.85,32,58,71,8
新乡,xinxiang,58,40,44,1.55,48,28,39,4
信阳,xinyang,76,55,78,1.02,26,32,80,6
新余,xinyu,43,17,42,0.66,18,38,60,6
忻州,xinzhou,49,34,45,1.07,41,10,29,10
西双版纳州,xishuangbannazhou,23,6,15,0.4,12,35,44,4
宣城,xuancheng,37,4,7,0.4,31,37,73,8
许昌,xuchang,26,12,25,1.93,34,38,44,8
徐州,xuzhou,59,40,66,0.93,26,29,29,7
雅安,yaan,87,64,74,0.8,24,55,90,7
延安,yanan,63,26,74,1.53,36,8,34,11
延边州,yanbianzhou,51,26,50,0.77,31,31,88,4
盐城,yancheng,43,20,33,0.74,14,73,85,8
阳江,yangjiang,31,15,30,0.8,22,29,55,12
阳泉,yangquan,29,19,25,0.8,29,44,56,6
扬州,yangzhou,58,38,64,0.75,39,45,80,8
烟台,yantai,55,17,19,0.48,19,88,104,4
宜宾,yibin,51,32,50,1.13,39,32,70,9
宜昌,yichang,58,29,64,1.14,48,14,62,7
宜春,yichun,38,12,33,0.76,17,38,75,9
伊春,yichunshi,46,19,45,0.33,26,7,28,5
伊犁哈萨克,yilihasake,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,yilihasakezhou,57,18,62,1.07,52,33,88,6
银川,yinchuan,55,31,58,0.89,66,48,102,20
营口,yingkou,109,81,136,0.88,28,109,151,4
鹰潭,yingtan,44,23,43,0.58,17,39,69,7
义乌,yiwu,55,19,28,0.65,28,47,104,3
宜兴,yixing,48,20,35,1.25,68,27,94,18
益阳,yiyang,50,17,49,1.27,47,24,86,11
永州,yongzhou,48,25,47,0.5,24,20,43,4
岳阳,yueyang,51,23,50,0.93,30,54,89,9
玉林,yulin,37,24,36,0.93,30,25,53,34
榆林,yulinshi,75,39,98,1.8,76,14,71,12
运城,yuncheng,21,7,15,1.18,20,43,40,3
云浮,yunfu,35,18,34,0.7,18,34,66,11
玉树州,yushuzhou,48,5,7,0.5,10,86,94,8
玉溪,yuxi,48,17,47,1.07,22,35,49,10
枣庄,zaozhuang,32,17,31,0.74,30,31,48,16
张家港,zhangjiagang,68,41,83,0.8,49,77,108,10
张家界,zhangjiajie,26,12,25,0.75,16,14,38,5
张家口,zhangjiakou,81,28,109,0.78,51,46,95,8
章丘,zhangqiu,43,25,42,0.9,16,83,70,12
张掖,zhangye,62,30,71,0.3,15,80,98,8
漳州,zhangzhou,54,21,38,0.43,16,47,103,5
湛江,zhanjiang,24,5,18,0.45,10,42,46,5
肇庆,zhaoqing,51,20,50,0.7,38,37,74,5
昭通,zhaotong,63,12,73,0.85,26,37,60,39
招远,zhaoyuan,44,13,13,0.65,12,80,87,6
郑州,zhengzhou,39,27,28,1.42,35,46,49,6
镇江,zhenjiang,56,22,44,0.75,27,66,106,5
中山,zhongshan,98,38,62,1.15,55,54,156,6
中卫,zhongwei,63,15,35,0.8,28,89,114,10
周口,zhoukou,27,17,26,1.15,13,44,34,6
舟山,zhoushan,24,8,23,0.53,17,27,43,3
珠海,zhuhai,71,28,42,0.6,47,60,124,3
诸暨,zhuji,34,22,28,1.4,24,33,67,5
驻马店,zhumadian,45,31,34,0.97,22,36,32,2
株洲,zhuzhou,54,27,56,0.74,33,48,83,11
淄博,zibo,42,29,32,0.97,27,42,52,7
自贡,zigong,70,50,73,0.98,35,62,89,12
资阳,ziyang,38,15,36,0.76,30,36,74,11
遵义,zunyi,23,10,19,0.55,25,17,45,5
